"","measure","Year","Waterway_1","Waterway_2","Waterway_3","Waterway_4"
"1","1,2,3-Trichlorobenzene",2008,"-0.0282492443617763","0","0","0"
"2","1,2,3-Trichlorobenzene",2009,"0","0","0","0"
"3","1,2,4-Trichlorobenzene",2008,"0","0","0","0"
"4","1,2,4-Trichlorobenzene",2009,"0","0","0","0"
"5","Acenaphthene",2008,"0.293374598513122","0","0","0"
"6","Acenaphthene",2009,"0","0","0","0"
"7","Acenaphthylene",2008,"0","0","0","0"
"8","Acenaphthylene",2009,"0","0","0","0"
"9","AGOC-3A",2014,"0.507777275360374","0.331084186424606","0","0"
"10","AGOC-3A",2015,"1.3648551913457","0.49979617326292","0","0"
"11","AGOC-3A",2016,"6.03119460504344","100+","0","0"
"12","Alachlor",2005,"100+","100+","0","0"
"13","Alachlor",2006,"0.254134513837862","100+","0","0"
"14","Alachlor",2007,"0.431290138681117","0.868041194476807","0","0"
"15","Alachlor",2009,"0.153145208700764","0.101307189542484","0","0"
"16","Aldrin",2005,"100+","100+","0","0"
"17","Aldrin",2006,"100+","0.525961059021528","0","0"
"18","Aldrin",2007,"0.437646573393194","0.387639434082705","0","0"
"19","Aldrin",2008,"0.061100301752952","0.232655502392345","0","0"
"20","Aldrin",2009,"-0.00923076923076923","-0.186666666666667","0","0"
"21","alpha-Hexachlorocyclohexane",2005,"100+","100+","0","0"
"22","alpha-Hexachlorocyclohexane",2006,"0.26440225531373","0.533321194242398","0","0"
"23","alpha-Hexachlorocyclohexane",2007,"0.324925991753275","0.544317449003835","0","0"
"24","alpha-Hexachlorocyclohexane",2012,"0.333333333333333","0","0","0"
"25","Aluminium",2008,"-0.0247690808093443","0.0118491459396425","0","0"
"26","Aluminium",2009,"0.650571946613815","0.470752284079294","0","0"
"27","Aluminium",2010,"0.0191613616672165","0.185861153661563","0","0"
"28","Aluminium",2014,"-0.333333332758621","0","0","0"
"29","Ammonium",1998,"0.0709347590339967","0.121391557930932","0","0"
"30","Ammonium",1999,"0.328206897118919","0.683275442168507","0","0"
"31","Ammonium",2000,"0.777000595398864","0.992930184331499","0","0"
"32","Ammonium",2001,"0.184676348088752","0.121860291233954","0","0"
"33","Ammonium",2002,"0.404523276035609","1.66212370940014","0","0"
"34","Ammonium",2003,"0.257945341966054","0.399053567184297","0","0"
"35","Ammonium",2004,"50.3893740842118","14.8326829603149","0","0"
"36","Ammonium",2005,"31.9357403227923","12.6366651231491","0","0"
"37","Ammonium",2006,"0.447149966199956","1.02539991279164","0","0"
"38","Ammonium",2007,"0.26989402923447","0.514382116707458","0","0"
"39","Ammonium",2008,"0.544079333556342","0.476085143398919","0","0"
"40","Ammonium",2009,"0.230028823472616","0.610238328009126","9.27889844188845","0.411927843342519"
"41","Ammonium",2010,"0.466475386462548","1.61881765606833","3.30202118925783","4.98688384447946"
"42","Ammonium",2011,"0.198079192975665","19.5278787364305","0.513325029257349","0.191777591240451"
"43","Ammonium",2012,"29.741932503344","76.2125290607056","1.52013565389918","45.10233395158"
"44","Ammonium",2013,"26.7247533209019","32.723950935437","7.47518931942421","69.271813767146"
"45","Ammonium",2014,"25.8021263536282","32.6892958124954","7.21948843481419","100+"
"46","Ammonium",2015,"24.357527826019","24.3471355531256","0.330000110573142","100+"
"47","Ammonium",2016,"30.7654776774114","38.3307711225938","4.24124144236554","0.180163347193208"
"48","Anionic active surfactants",1999,"19.0622002134187","66.4148941798942","0","0"
"49","Anionic active surfactants",2000,"18.3150055047731","31.2380813326537","0","0"
"50","Anionic active surfactants",2001,"29.3948404624583","0.175457482880001","0","0"
"51","Anionic active surfactants",2002,"0.523160173160173","-0.0446666666666667","0","0"
"52","Anionic active surfactants",2003,"0.0154292968531959","28.9289261005383","0","0"
"53","Anionic active surfactants",2004,"5.1860584338634","0","0","0"
"54","Anionic active surfactants",2005,"2.27688967855839","0.276705986102972","0","0"
