"","location","measure","Year","mean_value","counter","waterway"
"1","Achara","Arsenic",2009,0.825,8,"Waterway_2"
"2","Achara","Arsenic",2010,1.00833333333333,12,"Waterway_2"
"3","Achara","Arsenic",2011,1.20555555555556,18,"Waterway_2"
"4","Achara","Arsenic",2012,0.358333333333333,12,"Waterway_2"
"5","Achara","Arsenic",2013,0.35,12,"Waterway_2"
"6","Boonsri","AGOC-3A",2014,0.320857142857143,28,"Waterway_1"
"7","Boonsri","AGOC-3A",2015,9.96691428571429,35,"Waterway_1"
"8","Boonsri","AGOC-3A",2016,0.0659642857142857,28,"Waterway_1"
"9","Boonsri","Arsenic",1998,0,21,"Waterway_1"
"10","Boonsri","Arsenic",2004,0.242,1,"Waterway_1"
"11","Boonsri","Arsenic",2008,1.44,6,"Waterway_1"
"12","Boonsri","Arsenic",2010,2.34444444444444,9,"Waterway_1"
"13","Boonsri","Arsenic",2012,0,32,"Waterway_1"
"14","Boonsri","Arsenic",2013,0,36,"Waterway_1"
"15","Boonsri","Arsenic",2014,0.78896875,32,"Waterway_1"
"16","Boonsri","Chlorodinine",2014,0.25125,28,"Waterway_1"
"17","Boonsri","Chlorodinine",2015,0.247028571428571,35,"Waterway_1"
"18","Boonsri","Chlorodinine",2016,0.0292857142857143,28,"Waterway_1"
"19","Boonsri","Methylosmoline",2014,0.300035714285714,28,"Waterway_1"
"20","Boonsri","Methylosmoline",2015,0.434028571428571,35,"Waterway_1"
"21","Boonsri","Methylosmoline",2016,0.0409642857142857,28,"Waterway_1"
"22","Busarakhan","AGOC-3A",2014,0.2987,10,"Waterway_1"
"23","Busarakhan","AGOC-3A",2015,0.366,9,"Waterway_1"
"24","Busarakhan","AGOC-3A",2016,0.750416666666667,12,"Waterway_1"
"25","Busarakhan","Arsenic",1998,0,3,"Waterway_1"
"26","Busarakhan","Arsenic",2004,2.227,1,"Waterway_1"
"27","Busarakhan","Arsenic",2008,0.521,8,"Waterway_1"
"28","Busarakhan","Arsenic",2009,1.15875,8,"Waterway_1"
"29","Busarakhan","Arsenic",2010,1.0025,12,"Waterway_1"
"30","Busarakhan","Arsenic",2011,1.41666666666667,12,"Waterway_1"
"31","Busarakhan","Arsenic",2012,1.75,2,"Waterway_1"
"32","Busarakhan","Arsenic",2014,1.46,5,"Waterway_1"
