"","measure","location","Year","mean_value"
"1","1,2,3-Trichlorobenzene","Boonsri",2008,0
"2","1,2,3-Trichlorobenzene","Boonsri",2009,0
"3","1,2,3-Trichlorobenzene","Kohsoom",2008,13.7210615471485
"4","1,2,3-Trichlorobenzene","Kohsoom",2009,0
"5","1,2,4-Trichlorobenzene","Boonsri",2008,0
"6","1,2,4-Trichlorobenzene","Boonsri",2009,0
"7","1,2,4-Trichlorobenzene","Kohsoom",2008,0
"8","1,2,4-Trichlorobenzene","Kohsoom",2009,0
"9","Acenaphthene","Boonsri",2008,56.1543879355488
"10","Acenaphthene","Boonsri",2009,0
"11","Acenaphthene","Kohsoom",2008,0
"12","Acenaphthene","Kohsoom",2009,0
"13","Acenaphthylene","Boonsri",2008,0
"14","Acenaphthylene","Boonsri",2009,0
"15","Acenaphthylene","Kohsoom",2008,0
"16","Acenaphthylene","Kohsoom",2009,0
"17","AGOC-3A","Boonsri",2014,18.4665533063892
"18","AGOC-3A","Boonsri",2015,356.452136358146
"19","AGOC-3A","Boonsri",2016,223.909678414118
"20","AGOC-3A","Busarakhan",2014,14.9709554106408
"21","AGOC-3A","Busarakhan",2015,42.0423213375024
"22","AGOC-3A","Busarakhan",2016,1159.64904730484
"23","AGOC-3A","Chai",2014,99.5636110547586
"24","AGOC-3A","Chai",2015,106.54676577074
"25","AGOC-3A","Chai",2016,528.957913323826
"26","AGOC-3A","Kannika",2014,112.989809354051
"27","AGOC-3A","Kannika",2015,34.9543806250534
"28","AGOC-3A","Kannika",2016,995.230246406842
"29","AGOC-3A","Kohsoom",2014,39.4687158484898
"30","AGOC-3A","Kohsoom",2015,124.61963724502
"31","AGOC-3A","Kohsoom",2016,700.90435448989
"32","AGOC-3A","Sakda",2014,64.4105688378825
"33","AGOC-3A","Sakda",2015,73.8534994587552
"34","AGOC-3A","Sakda",2016,2066.93671484126
"35","AGOC-3A","Somchair",2014,10.0409659522345
"36","AGOC-3A","Somchair",2015,54.7918960228484
"37","AGOC-3A","Somchair",2016,15199.0325625029
"38","Alachlor","Boonsri",2005,28208.7412362042
"39","Alachlor","Boonsri",2006,60.3768387776574
"40","Alachlor","Boonsri",2007,70.7836727232858
"41","Alachlor","Busarakhan",2005,158300
"42","Alachlor","Busarakhan",2006,35.8292088905681
"43","Alachlor","Busarakhan",2007,69.8809107047605
"44","Alachlor","Busarakhan",2009,33.3333333333333
"45","Alachlor","Chai",2005,30742.9447549507
"46","Alachlor","Chai",2006,69.9957331874194
"47","Alachlor","Chai",2007,89.2822935555188
"48","Alachlor","Chai",2009,15.7142857142857
"49","Alachlor","Kannika",2005,2877.2612302033
"50","Alachlor","Kannika",2006,45.8522084016425
"51","Alachlor","Kannika",2007,93.8170163931481
"52","Alachlor","Kannika",2009,3.7037037037037
"53","Alachlor","Kohsoom",2005,145996.803652968
"54","Alachlor","Kohsoom",2006,100.784075722358
"55","Alachlor","Kohsoom",2007,139.021415466177
"56","Alachlor","Sakda",2005,18189.4920053065
"57","Alachlor","Sakda",2006,3746.94197895333
"58","Alachlor","Sakda",2007,152.817673895811
"59","Alachlor","Sakda",2009,16.6666666666667
"60","Alachlor","Somchair",2005,154966.666666667
"61","Alachlor","Somchair",2006,46.9311553931202
"62","Alachlor","Somchair",2007,82.9231731082201
"63","Alachlor","Somchair",2009,23.5294117647059
"64","Aldrin","Boonsri",2005,6338.33628221035
"65","Aldrin","Boonsri",2006,106.664777094853
"66","Aldrin","Boonsri",2007,64.8675885094653
"67","Aldrin","Boonsri",2008,6.79614172820371
"68","Aldrin","Boonsri",2009,2.82352941176471
"69","Aldrin","Busarakhan",2005,36766.6582491583
"70","Aldrin","Busarakhan",2006,96.6896645213121
"71","Aldrin","Busarakhan",2007,112.284968446443
"72","Aldrin","Busarakhan",2008,92.3076923076923
"73","Aldrin","Busarakhan",2009,14
"74","Aldrin","Chai",2005,10173.0987049122
"75","Aldrin","Chai",2006,79.5200021757149
"76","Aldrin","Chai",2007,63.0897497374955
"77","Aldrin","Chai",2009,40
"78","Aldrin","Kannika",2005,7343.426911253
"79","Aldrin","Kannika",2006,150.13200888376
"80","Aldrin","Kannika",2007,125.598794814997
"81","Aldrin","Kannika",2008,26.1904761904762
"82","Aldrin","Kannika",2009,14
"83","Aldrin","Kohsoom",2005,0
"84","Aldrin","Kohsoom",2006,16305.1084299135
"85","Aldrin","Kohsoom",2007,95.6331784701528
"86","Aldrin","Kohsoom",2008,0.427350427350427
"87","Aldrin","Kohsoom",2009,10.6666666666667
"88","Aldrin","Sakda",2005,20890.3072211164
"89","Aldrin","Sakda",2006,91.7680447527698
"90","Aldrin","Sakda",2007,87.8612617241387
"91","Aldrin","Sakda",2008,11.4035087719298
"92","Aldrin","Sakda",2009,28
"93","Aldrin","Somchair",2005,43099.9960876369
"94","Aldrin","Somchair",2006,93.5049992595547
"95","Aldrin","Somchair",2007,97.7328958123493
"96","Aldrin","Somchair",2008,127.272727272727
"97","Aldrin","Somchair",2009,14
"98","alpha-Hexachlorocyclohexane","Boonsri",2005,8908.12542874086
"99","alpha-Hexachlorocyclohexane","Boonsri",2006,56.9167663474236
"100","alpha-Hexachlorocyclohexane","Boonsri",2007,57.4858670741024
"101","alpha-Hexachlorocyclohexane","Busarakhan",2005,80107.6545305489
"102","alpha-Hexachlorocyclohexane","Busarakhan",2006,91.1011904761905
"103","alpha-Hexachlorocyclohexane","Busarakhan",2007,6.59722222222222
"104","alpha-Hexachlorocyclohexane","Chai",2005,8526.33938446322
"105","alpha-Hexachlorocyclohexane","Chai",2006,84.6344163193328
"106","alpha-Hexachlorocyclohexane","Chai",2007,59.7611952313753
"107","alpha-Hexachlorocyclohexane","Chai",2012,33.3333333333333
"108","alpha-Hexachlorocyclohexane","Kannika",2005,6286.07503832656
"109","alpha-Hexachlorocyclohexane","Kannika",2006,43.9230728571759
"110","alpha-Hexachlorocyclohexane","Kannika",2007,43.9861517218973
"111","alpha-Hexachlorocyclohexane","Kohsoom",2005,18487.4780701754
"112","alpha-Hexachlorocyclohexane","Kohsoom",2006,89.3532147676884
"113","alpha-Hexachlorocyclohexane","Kohsoom",2007,16.099537037037
"114","alpha-Hexachlorocyclohexane","Sakda",2005,17293.3853573799
"115","alpha-Hexachlorocyclohexane","Sakda",2006,60.0903655326113
"116","alpha-Hexachlorocyclohexane","Sakda",2007,88.7099921935988
"117","alpha-Hexachlorocyclohexane","Somchair",2005,10518.9118754005
"118","alpha-Hexachlorocyclohexane","Somchair",2006,195.056244349692
"119","alpha-Hexachlorocyclohexane","Somchair",2007,0
"120","Aluminium","Busarakhan",2009,143.618187368187
"121","Aluminium","Busarakhan",2010,3.27868852459016
"122","Aluminium","Chai",2008,7.86668522397428
"123","Aluminium","Chai",2009,113.669381103754
"124","Aluminium","Chai",2010,11.1843711843712
"125","Aluminium","Kannika",2008,7.94940009685185
"126","Aluminium","Kannika",2009,53.6465561010221
"127","Aluminium","Kannika",2010,6.91919191919192
"128","Aluminium","Kannika",2014,33.333275862069
"129","Aluminium","Sakda",2008,6.80574752258453
"130","Aluminium","Sakda",2009,59.3599583572764
"131","Aluminium","Sakda",2010,33.0039676749147
"132","Aluminium","Somchair",2009,126.705794433592
"133","Aluminium","Somchair",2010,2.29885057471264
"134","Ammonium","Achara",2009,176.503647379759
"135","Ammonium","Achara",2010,196.122170465476
"136","Ammonium","Achara",2011,7340.8866065234
"137","Ammonium","Achara",2012,9689.84973762597
"138","Ammonium","Achara",2013,6600.6452665624
"139","Ammonium","Achara",2014,20131.6936861897
"140","Ammonium","Achara",2015,4143.90556423875
"141","Ammonium","Achara",2016,48.7480636041029
"142","Ammonium","Boonsri",1998,36.1830657424193
"143","Ammonium","Boonsri",1999,33.5650875033151
"144","Ammonium","Boonsri",2000,35.3223403288076
"145","Ammonium","Boonsri",2001,41.5798895430115
"146","Ammonium","Boonsri",2002,30.751587584414
"147","Ammonium","Boonsri",2003,41.5057750811226
"148","Ammonium","Boonsri",2004,36.8969538758011
"149","Ammonium","Boonsri",2005,54.0760571783358
"150","Ammonium","Boonsri",2006,80.0176866812875
"151","Ammonium","Boonsri",2007,83.5854799883986
"152","Ammonium","Boonsri",2008,91.1596829153032
"153","Ammonium","Boonsri",2009,39.3077124815254
"154","Ammonium","Boonsri",2010,104.94273705996
"155","Ammonium","Boonsri",2011,53.7147637221897
"156","Ammonium","Boonsri",2012,30.1909795202093
"157","Ammonium","Boonsri",2013,2726.6949324912
"158","Ammonium","Boonsri",2014,2312.33314736565
"159","Ammonium","Boonsri",2015,1199.64732773727
"160","Ammonium","Boonsri",2016,2952.40894284248
"161","Ammonium","Busarakhan",1998,16.9351951306839
"162","Ammonium","Busarakhan",1999,143.515268322445
"163","Ammonium","Busarakhan",2000,330.488849125745
"164","Ammonium","Busarakhan",2001,45.9430177278978
"165","Ammonium","Busarakhan",2002,67.5874180789193
