"","measure","location","Year","mean_value"
"1","1,2,3-Trichlorobenzene","Boonsri",2008,0.001
"2","1,2,3-Trichlorobenzene","Boonsri",2009,0.001
"3","1,2,3-Trichlorobenzene","Kohsoom",2008,0.001
"4","1,2,3-Trichlorobenzene","Kohsoom",2009,0.001
"5","1,2,4-Trichlorobenzene","Boonsri",2008,0.001
"6","1,2,4-Trichlorobenzene","Boonsri",2009,0.001
"7","1,2,4-Trichlorobenzene","Kohsoom",2008,0.001
"8","1,2,4-Trichlorobenzene","Kohsoom",2009,0.001
"9","Acenaphthene","Boonsri",2008,0.0044408
"10","Acenaphthene","Boonsri",2009,0.003
"11","Acenaphthene","Kohsoom",2008,0.003
"12","Acenaphthene","Kohsoom",2009,0.003
"13","Acenaphthylene","Boonsri",2008,0.004
"14","Acenaphthylene","Boonsri",2009,0.004
"15","Acenaphthylene","Kohsoom",2008,0.004
"16","Acenaphthylene","Kohsoom",2009,0.004
"17","AGOC-3A","Boonsri",2014,0.320703703703704
"18","AGOC-3A","Boonsri",2015,9.96691428571429
"19","AGOC-3A","Boonsri",2016,0.0659642857142857
"20","AGOC-3A","Busarakhan",2014,0.300555555555556
"21","AGOC-3A","Busarakhan",2015,0.366
"22","AGOC-3A","Busarakhan",2016,0.750416666666667
"23","AGOC-3A","Chai",2014,0.520113636363636
"24","AGOC-3A","Chai",2015,1.42392592592593
"25","AGOC-3A","Chai",2016,0.24253125
"26","AGOC-3A","Kannika",2014,0.535516129032258
"27","AGOC-3A","Kannika",2015,0.354259259259259
"28","AGOC-3A","Kannika",2016,0.249333333333333
"29","AGOC-3A","Kohsoom",2014,0.383444444444444
"30","AGOC-3A","Kohsoom",2015,0.564818181818182
"31","AGOC-3A","Kohsoom",2016,0.0680909090909091
"32","AGOC-3A","Sakda",2014,0.4654375
"33","AGOC-3A","Sakda",2015,0.514481481481482
"34","AGOC-3A","Sakda",2016,0.184730303030303
"35","AGOC-3A","Somchair",2014,0.298444444444444
"36","AGOC-3A","Somchair",2015,0.412777777777778
"37","AGOC-3A","Somchair",2016,0.580083333333333
"38","Alachlor","Boonsri",2005,0.0988571428571429
"39","Alachlor","Boonsri",2006,0.278174603174603
"40","Alachlor","Boonsri",2007,0.10848
"41","Alachlor","Busarakhan",2005,0.1584
"42","Alachlor","Busarakhan",2006,0.1535
"43","Alachlor","Busarakhan",2007,0.0498333333333333
"44","Alachlor","Busarakhan",2009,0.025
"45","Alachlor","Chai",2005,0.10695652173913
"46","Alachlor","Chai",2006,0.191089285714286
"47","Alachlor","Chai",2007,0.0557301587301587
"48","Alachlor","Chai",2009,0.025
"49","Alachlor","Kannika",2005,0.199672727272727
"50","Alachlor","Kannika",2006,0.1956875
"51","Alachlor","Kannika",2007,0.0968888888888889
"52","Alachlor","Kannika",2009,0.025
"53","Alachlor","Kohsoom",2005,0.160033333333333
"54","Alachlor","Kohsoom",2006,0.28925
"55","Alachlor","Kohsoom",2007,0.0856666666666667
"56","Alachlor","Sakda",2005,0.0860545454545455
"57","Alachlor","Sakda",2006,0.209689655172414
"58","Alachlor","Sakda",2007,0.0901111111111111
"59","Alachlor","Sakda",2009,0.025
"60","Alachlor","Somchair",2005,0.155066666666667
"61","Alachlor","Somchair",2006,0.138090909090909
"62","Alachlor","Somchair",2007,0.0520833333333333
"63","Alachlor","Somchair",2009,0.025
"64","Aldrin","Boonsri",2005,0.007706
"65","Aldrin","Boonsri",2006,0.1240625
"66","Aldrin","Boonsri",2007,0.0290196078431373
"67","Aldrin","Boonsri",2008,0.0258884615384615
"68","Aldrin","Boonsri",2009,0.001
"69","Aldrin","Busarakhan",2005,0.0368555555555556
"70","Aldrin","Busarakhan",2006,0.1062
"71","Aldrin","Busarakhan",2007,0.0120833333333333
"72","Aldrin","Busarakhan",2008,0.025
"73","Aldrin","Busarakhan",2009,0.018
"74","Aldrin","Chai",2005,0.012375
"75","Aldrin","Chai",2006,0.0899636363636364
"76","Aldrin","Chai",2007,0.0163548387096774
"77","Aldrin","Chai",2009,0.018
"78","Aldrin","Kannika",2005,0.00743478260869565
"79","Aldrin","Kannika",2006,0.0878214285714286
"80","Aldrin","Kannika",2007,0.0403611111111111
"81","Aldrin","Kannika",2008,0.025
"82","Aldrin","Kannika",2009,0.018
"83","Aldrin","Kohsoom",2005,1e-04
"84","Aldrin","Kohsoom",2006,0.1095
"85","Aldrin","Kohsoom",2007,0.0270833333333333
"86","Aldrin","Kohsoom",2008,0.025
"87","Aldrin","Kohsoom",2009,0.001
"88","Aldrin","Sakda",2005,0.0253807692307692
"89","Aldrin","Sakda",2006,0.0965714285714286
"90","Aldrin","Sakda",2007,0.0316111111111111
"91","Aldrin","Sakda",2008,0.025
"92","Aldrin","Sakda",2009,0.018
"93","Aldrin","Somchair",2005,0.0431888888888889
"94","Aldrin","Somchair",2006,0.1123
"95","Aldrin","Somchair",2007,0.0125833333333333
"96","Aldrin","Somchair",2008,0.025
"97","Aldrin","Somchair",2009,0.018
"98","alpha-Hexachlorocyclohexane","Boonsri",2005,0.0318793103448276
"99","alpha-Hexachlorocyclohexane","Boonsri",2006,0.0157272727272727
"100","alpha-Hexachlorocyclohexane","Boonsri",2007,0.0086078431372549
"101","alpha-Hexachlorocyclohexane","Busarakhan",2005,0.0909545454545455
"102","alpha-Hexachlorocyclohexane","Busarakhan",2006,0.0115
"103","alpha-Hexachlorocyclohexane","Busarakhan",2007,0.005
"104","alpha-Hexachlorocyclohexane","Chai",2005,0.0324931034482759
"105","alpha-Hexachlorocyclohexane","Chai",2006,0.0141395348837209
"106","alpha-Hexachlorocyclohexane","Chai",2007,0.00948387096774194
"107","alpha-Hexachlorocyclohexane","Chai",2012,0.01
"108","alpha-Hexachlorocyclohexane","Kannika",2005,0.0120689655172414
"109","alpha-Hexachlorocyclohexane","Kannika",2006,0.0145
"110","alpha-Hexachlorocyclohexane","Kannika",2007,0.0107222222222222
"111","alpha-Hexachlorocyclohexane","Kohsoom",2005,0.018575
"112","alpha-Hexachlorocyclohexane","Kohsoom",2006,0.0158
"113","alpha-Hexachlorocyclohexane","Kohsoom",2007,0.00633333333333333
"114","alpha-Hexachlorocyclohexane","Sakda",2005,0.034146875
"115","alpha-Hexachlorocyclohexane","Sakda",2006,0.01388
"116","alpha-Hexachlorocyclohexane","Sakda",2007,0.00944117647058824
"117","alpha-Hexachlorocyclohexane","Somchair",2005,0.0712666666666667
"118","alpha-Hexachlorocyclohexane","Somchair",2006,0.0205555555555556
"119","alpha-Hexachlorocyclohexane","Somchair",2007,0.005
"120","Aluminium","Busarakhan",2009,162.625
"121","Aluminium","Busarakhan",2010,59
"122","Aluminium","Chai",2008,37.44
"123","Aluminium","Chai",2009,203.52380952381
"124","Aluminium","Chai",2010,81.6666666666667
"125","Aluminium","Kannika",2008,33.36
"126","Aluminium","Kannika",2009,143.259259259259
"127","Aluminium","Kannika",2010,57.6666666666667
"128","Aluminium","Kannika",2014,1e-04
"129","Aluminium","Sakda",2008,44.96
"130","Aluminium","Sakda",2009,147.555555555556
"131","Aluminium","Sakda",2010,82
"132","Aluminium","Somchair",2009,212.555555555556
"133","Aluminium","Somchair",2010,89
"134","Ammonium","Achara",2009,0.129727272727273
